Gene_ID,signcon,randomSummary,randomCi.lb,randomCi.ub,randomP,het_QE,het_QEp,het_QM,het_QMp,error,rank,Gene_Symbol,Gene_Description
128272,2,1.490241517,0.659765295,2.320717739,0.000436385,0.363194535,0.546737403,12.36958399,0.000436385,FALSE,1332,ARHGEF19,Rho guanine nucleotide exchange factor 19
408,-2,-1.328471811,-2.040545206,-0.616398415,0.000255598,0.066425769,0.79661377,13.37061392,0.000255598,FALSE,1333,ARRB1,arrestin beta 1
28481,1,3.107363411,1.108894788,5.105832034,0.002307584,0,1,9.287217347,0.002307584,FALSE,1334,,
102466720,-1,-3.907468012,-6.468486755,-1.346449268,0.00278603,0,1,8.942553163,0.00278603,FALSE,1335,,
1026,-2,-1.480544932,-2.305377133,-0.655712731,0.000434703,0.004566895,0.946120929,12.3767937,0.000434703,FALSE,1336,CDKN1A,cyclin dependent kinase inhibitor 1A
8358,2,1.600868518,0.687643889,2.514093148,0.000590837,0.655577089,0.418125754,11.80462727,0.000590837,FALSE,1337,H3C2,H3 clustered histone 2
677831,1,2.336464312,0.887928002,3.785000621,0.00157019,0,1,9.994376681,0.00157019,FALSE,1338,,
140462,2,1.891043268,0.765450674,3.016635862,0.00099187,0.006240568,0.937034797,10.84268048,0.00099187,FALSE,1339,ASB9,ankyrin repeat and SOCS box containing 9
9493,2,1.463914705,0.650863241,2.27696617,0.000417208,0.265518139,0.606354213,12.45350661,0.000417208,FALSE,1340,KIF23,kinesin family member 23
102465513,-1,-2.166061564,-3.492155422,-0.839967706,0.001367452,0,1,10.24918298,0.001367452,FALSE,1341,,
23111,-2,-1.785163986,-2.834003722,-0.73632425,0.000850142,0.469504677,0.493215128,11.12843646,0.000850142,FALSE,1342,SPART,spartin
50,-2,-1.348862704,-2.077719935,-0.620005472,0.000286494,0.395505791,0.529419429,13.156693,0.000286494,FALSE,1343,ACO2,aconitase 2
5516,-2,-1.209820922,-1.836747593,-0.58289425,0.000155405,0.664453573,0.414992054,14.30556024,0.000155405,FALSE,1344,PPP2CB,protein phosphatase 2 catalytic subunit beta
169981,2,1.573215615,0.678972105,2.467459125,0.000564534,0.215121228,0.642782711,11.88943139,0.000564534,FALSE,1345,SPIN3,spindlin family member 3
10813,2,1.420029822,0.638080872,2.201978773,0.000371815,0.497254217,0.480709086,12.66876588,0.000371815,FALSE,1346,UTP14A,UTP14A small subunit processome component
9560,2,1.995529047,0.791323545,3.199734549,0.001162513,0.689390234,0.406371862,10.54899473,0.001162513,FALSE,1347,CCL4L2,C-C motif chemokine ligand 4 like 2
84913,-2,-1.903965777,-3.04193725,-0.765994304,0.001040797,0.72509451,0.394477885,10.75354625,0.001040797,FALSE,1348,ATOH8,atonal bHLH transcription factor 8
572558,-1,-3.7408261,-6.189230551,-1.292421649,0.002748445,0,1,8.967366102,0.002748445,FALSE,1349,,
79092,1,2.563406703,0.948233603,4.178579802,0.00186697,0,1,9.675937787,0.00186697,FALSE,1350,CARD14,caspase recruitment domain family member 14
1374,-2,-1.332344705,-2.052134245,-0.612555165,0.0002857,0.153924085,0.694813217,13.1618919,0.0002857,FALSE,1351,CPT1A,carnitine palmitoyltransferase 1A
10874,1,3.551574344,1.234390783,5.868757904,0.00266403,0,1,9.024374811,0.00266403,FALSE,1352,NMU,neuromedin U
157570,2,1.575138618,0.675767978,2.474509258,0.000597737,0.708724444,0.399867591,11.78301225,0.000597737,FALSE,1353,ESCO2,establishment of sister chromatid cohesion N-acetyltransferase 2
3336,2,1.334413188,0.612005395,2.05682098,0.000294153,0.403688315,0.525190578,13.10726224,0.000294153,FALSE,1354,HSPE1,heat shock protein family E (Hsp10) member 1
38,-2,-1.455775805,-2.26804386,-0.64350775,0.000443549,0.056823176,0.811589385,12.33918369,0.000443549,FALSE,1355,ACAT1,acetyl-CoA acetyltransferase 1
541471,1,2.220346675,0.848414581,3.592278768,0.001513813,0,1,10.06172695,0.001513813,FALSE,1356,,
84888,-2,-1.379901224,-2.138143797,-0.621658651,0.000361263,0.230352994,0.631262212,12.72259937,0.000361263,FALSE,1357,SPPL2A,signal peptide peptidase like 2A
114898,-2,-1.901688811,-3.04264307,-0.760734551,0.001087799,0.643300521,0.422518152,10.67182307,0.001087799,FALSE,1358,C1QTNF2,C1q and TNF related 2
57088,-2,-1.325318753,-2.043931739,-0.606705768,0.000300685,0.138036818,0.710240534,13.06612315,0.000300685,FALSE,1359,PLSCR4,phospholipid scramblase 4
6348,2,1.849548119,0.745814494,2.953281745,0.001022178,0.577433933,0.447319899,10.78695593,0.001022178,FALSE,1360,CCL3,C-C motif chemokine ligand 3
81693,-2,-1.652735075,-2.613327347,-0.692142803,0.000745725,0.062675917,0.802315466,11.37167642,0.000745725,FALSE,1361,AMN,amnion associated transmembrane protein
320,-2,-1.71085524,-2.714081367,-0.707629113,0.000830478,0.012467474,0.911094707,11.17184863,0.000830478,FALSE,1362,APBA1,amyloid beta precursor protein binding family A member 1
338557,-2,-1.923046233,-3.081823107,-0.76426936,0.001143322,0.231579337,0.630355239,10.57976436,0.001143322,FALSE,1363,FFAR4,free fatty acid receptor 4
285195,-2,-1.644275763,-2.599718365,-0.68883316,0.000743502,0.849194227,0.356780387,11.37722345,0.000743502,FALSE,1364,SLC9A9,solute carrier family 9 member A9
80318,-2,-1.52521949,-2.393305799,-0.65713318,0.000573943,0.54694142,0.459570128,11.85864478,0.000573943,FALSE,1365,GKAP1,G kinase anchoring protein 1
81029,-2,-1.861424017,-2.976929871,-0.745918164,0.001073364,0.015125536,0.902118248,10.69653463,0.001073364,FALSE,1366,WNT5B,Wnt family member 5B
145483,-2,-1.460243864,-2.28192091,-0.638566818,0.000495548,0.043450565,0.834879188,12.13234222,0.000495548,FALSE,1367,FAM161B,FAM161 centrosomal protein B
64946,2,1.649137222,0.688274922,2.609999523,0.00076848,1.068225098,0.301346699,11.3158573,0.00076848,FALSE,1368,CENPH,centromere protein H
