Gene_ID,metap,metafc,idx,Gene_Symbol,Gene_Description
138151,2.70231765976516e-07,-1.62733301888614,-10.6887522340422,NACC2,NACC family member 2
54825,2.29724311727853e-05,-2.30007062606045,-10.6695516139324,CDHR2,cadherin related family member 2
54657,6.90384390370008e-05,-2.55991716103606,-10.651582448314,UGT1A4,UDP glucuronosyltransferase family 1 member A4
53832,3.93338971557325e-07,1.66147269053321,10.6421197426839,IL20RA,interleukin 20 receptor subunit alpha
8332,3.37787693110244e-06,1.94487299236441,10.6410928611787,H2AC16,H2A clustered histone 16
81620,6.4750994965957e-07,1.71925337275993,10.6400354205711,CDT1,chromatin licensing and DNA replication factor 1
79641,5.12320011211229e-08,-1.45778759656254,-10.6279402373303,ROGDI,rogdi atypical leucine zipper
6491,3.42462869608373e-08,1.42170782824991,10.6135984401115,STIL,STIL centriolar assembly protein
653,8.55924927109899e-05,-2.60738909506709,-10.6057228657319,BMP5,bone morphogenetic protein 5
8425,1.28028911034887e-06,-1.79721889187313,-10.5904572937195,LTBP4,latent transforming growth factor beta binding protein 4
489,1.33072441806433e-06,-1.79283255241271,-10.534526082782,ATP2A3,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3
8343,4.51508416247133e-07,1.65583801009238,10.5068454721426,H2BC7,H2B clustered histone 7
85463,3.60161814784712e-06,-1.92868681331289,-10.4988111698495,ZC3H12C,zinc finger CCCH-type containing 12C
83547,3.63181168638536e-07,-1.63008327573373,-10.4975352709797,RILP,Rab interacting lysosomal protein
4234,1.39539239608742e-07,1.53054850345785,10.4923747391215,METTL1,"methyltransferase 1, tRNA methylguanosine"
1511,0.000292472773484014,-2.96822444176037,-10.4894515617207,CTSG,cathepsin G
8787,0.000121213362650169,-2.67663334127294,-10.4828993126848,RGS9,regulator of G protein signaling 9
3039,4.39792106941511e-05,-2.40382105632486,-10.4728535632724,HBA1,hemoglobin subunit alpha 1
956,3.84680875789237e-05,-2.36755242136184,-10.4525057737299,ENTPD3,ectonucleoside triphosphate diphosphohydrolase 3
57462,5.3048324818984e-08,-1.43379742669059,-10.4313470319605,MYORG,myogenesis regulating glycosidase (putative)
56992,2.80321700074829e-07,1.59109190517973,10.4253803553542,KIF15,kinesin family member 15
225689,2.11079783969864e-05,2.2229287995999,10.3934222157304,MAPK15,mitogen-activated protein kinase 15
100631383,7.19759428104186e-07,-1.69149441717855,-10.3905332822811,FAM47E-STBD1,FAM47E-STBD1 readthrough
146556,8.0253700586063e-05,-2.53449248948428,-10.3801025272649,C16orf89,chromosome 16 open reading frame 89
80148,3.023405484947e-07,-1.59174072434708,-10.3773593880265,SLC66A2,solute carrier family 66 member 2
6717,7.42212737237669e-08,-1.45460837242576,-10.3705890758552,SRI,sorcin
9811,1.62832748808622e-07,-1.52623048468757,-10.3604466724575,CTIF,cap binding complex dependent translation initiation factor
629,1.3093242434789e-05,2.12049034153371,10.3542542307191,CFB,complement factor B
341,2.12665084905383e-05,2.20898343069366,10.3210416910271,APOC1,apolipoprotein C1
219654,2.86839494072201e-06,-1.85875216285789,-10.3018755930765,ZCCHC24,zinc finger CCHC-type containing 24
3040,4.66369671754002e-05,-2.35157688832661,-10.1853137229512,HBA2,hemoglobin subunit alpha 2
57519,2.13712550904547e-06,-1.79262521034437,-10.1644896384815,STARD9,StAR related lipid transfer domain containing 9
2707,5.54204352872089e-06,1.9329562200511,10.1602558985638,GJB3,gap junction protein beta 3
8174,0.000229989889793063,-2.79177869018717,-10.1573039940337,MADCAM1,mucosal vascular addressin cell adhesion molecule 1
27338,1.21002181327076e-07,1.46376403961048,10.1251585691383,UBE2S,ubiquitin conjugating enzyme E2 S
100127983,0.000275060509654341,-2.838145459176,-10.1054205632031,C8orf88,chromosome 8 open reading frame 88
5016,4.53217373679333e-06,1.8863898409118,10.0802890374083,OVGP1,oviductal glycoprotein 1
5326,9.03974381865544e-08,1.42465903927488,10.0350758506317,PLAGL2,PLAG1 like zinc finger 2
54209,5.21266494529228e-05,2.34255582006877,10.0330264675508,TREM2,triggering receptor expressed on myeloid cells 2
94240,2.00031983204408e-06,1.75634014198939,10.0092078174036,EPSTI1,epithelial stromal interaction 1
8356,4.2727025188499e-05,2.29079136769208,10.0091486369065,H3C12,H3 clustered histone 12
4299,1.50472778684119e-08,-1.27224994325182,-9.95222869079655,AFF1,ALF transcription elongation factor 1
3957,3.0324911373118e-05,-2.1983555743788,-9.93261116678301,LGALS2,galectin 2
27163,2.37095804959879e-06,-1.75989905584145,-9.89956617042862,NAAA,N-acylethanolamine acid amidase
11174,2.55324262595289e-05,2.15506866095404,9.89803190748192,ADAMTS6,ADAM metallopeptidase with thrombospondin type 1 motif 6
57405,2.69250694698472e-05,2.15507715092945,9.84836459360528,SPC25,SPC25 component of NDC80 kinetochore complex
389792,3.67151838005554e-06,1.8118130330228,9.84748338512908,IER5L,immediate early response 5 like
8600,3.39186039855322e-05,2.19615199249261,9.81583755916944,TNFSF11,TNF superfamily member 11
3590,1.59326367094464e-06,-1.69036399769534,-9.80024421931977,IL11RA,interleukin 11 receptor subunit alpha
4779,1.57338839080661e-08,-1.24944185974213,-9.74959981322799,NFE2L1,NFE2 like bZIP transcription factor 1
643382,3.33630105822658e-06,-1.77310494392477,-9.7108254915408,TMEM253,transmembrane protein 253
6330,2.73906702451602e-05,-2.12493543631817,-9.69479978339656,SCN4B,sodium voltage-gated channel beta subunit 4
10813,2.67965521011945e-07,1.47499486743439,9.69354986635482,UTP14A,UTP14A small subunit processome component
771,3.61268927483523e-05,-2.18026033905215,-9.68508574085869,CA12,carbonic anhydrase 12
220108,3.69507499606208e-05,-2.17606762731126,-9.64515154171173,FAM124A,family with sequence similarity 124 member A
79691,2.34229848123669e-09,1.11722244317407,9.64202938566224,QTRT2,queuine tRNA-ribosyltransferase accessory subunit 2
10462,6.60306006785097e-06,-1.85974142049582,-9.63393433091124,CLEC10A,C-type lectin domain containing 10A
56938,1.8824121547416e-06,1.6810340062807,9.62439925399778,BMAL2,basic helix-loop-helix ARNT like 2
90381,3.50905784268404e-05,2.14052572275016,9.53563426667803,TICRR,TOPBP1 interacting checkpoint and replication regulator
80714,4.05260057966391e-06,1.76759349375461,9.53133464780129,PBX4,PBX homeobox 4
899,9.90709193850753e-07,1.58283361183742,9.50341817253391,CCNF,cyclin F
27042,1.55919864975076e-08,1.21623638234547,9.49527729704785,UTP25,UTP25 small subunit processome component
129049,5.51355795516108e-05,-2.22374621268261,-9.46997458604062,SGSM1,small G protein signaling modulator 1
