Gene_Symbol,log2FC,P.Value,Gene_Description,Significance
KY,-4.320662747,2.35e-06,kyphoscoliosis peptidase,Down
EDAR,3.262304477,2.25e-08,ectodysplasin A receptor,Up
CTNND2,-4.494062846,3.88e-06,catenin delta 2,Down
MEOX2,-4.209884562,1.93e-06,mesenchyme homeobox 2,Down
SLCO4A1,2.851814236,5.16e-10,solute carrier organic anion transporter family member 4A1,Up
ADH1C,-4.990729869,1.03e-05,"alcohol dehydrogenase 1C (class I), gamma polypeptide",Down
MMP10,4.476957306,4.35e-06,matrix metallopeptidase 10,Up
RNF43,2.839442462,7.07e-10,ring finger protein 43,Up
AKR1B10,-3.513657412,1.93e-07,aldo-keto reductase family 1 member B10,Down
AFF3,-3.307128996,5.98e-08,ALF transcription elongation factor 3,Down
CBX2,2.939983853,3.3e-09,chromobox 2,Up
BMX,-2.909123098,3.06e-09,BMX non-receptor tyrosine kinase,Down
CXCL8,3.504749254,2.48e-07,C-X-C motif chemokine ligand 8,Up
KIF5C,-3.241812396,5.84e-08,kinesin family member 5C,Down
SLC4A11,3.89770175,1.28e-06,solute carrier family 4 member 11,Up
KHDRBS2,-4.076979615,2.26e-06,"KH RNA binding domain containing, signal transduction associated 2",Down
CDKN2B,-3.084324192,1.96e-08,cyclin dependent kinase inhibitor 2B,Down
CHP2,-3.138301678,3.04e-08,calcineurin like EF-hand protein 2,Down
GFRA1,-3.360834283,1.43e-07,GDNF family receptor alpha 1,Down
SH3TC2,3.282361222,8.96e-08,SH3 domain and tetratricopeptide repeats 2,Up
CLDN8,-4.249684289,3.91e-06,claudin 8,Down
EPHA7,-5.169353193,2.03e-05,EPH receptor A7,Down
ASPM,2.581745836,5.8e-11,assembly factor for spindle microtubules,Up
MYOT,-3.972587763,1.94e-06,myotilin,Down
PLA2G4E,4.245316751,4.13e-06,phospholipase A2 group IVE,Up
SCN7A,-4.718139008,1.1e-05,sodium voltage-gated channel alpha subunit 7,Down
HMCN2,-3.849696804,1.49e-06,hemicentin 2,Down
WSCD1,-3.041088521,2.31e-08,WSC domain containing 1,Down
GFRA2,-3.003741738,1.69e-08,GDNF family receptor alpha 2,Down
CEACAM7,-3.656658584,7.65e-07,CEA cell adhesion molecule 7,Down
MYBL2,2.891427138,6.12e-09,MYB proto-oncogene like 2,Up
MTCL3,-3.438310761,2.99e-07,MTCL family member 3,Down
MPP2,-3.984414242,2.38e-06,MAGUK p55 scaffold protein 2,Down
PKHD1L1,-4.177223392,4.1e-06,PKHD1 like 1,Down
FRMD3,-3.263648872,1.22e-07,FERM domain containing 3,Down
KIRREL3,-4.343216624,6.08e-06,kirre like nephrin family adhesion molecule 3,Down
FBLN2,-2.960374938,1.56e-08,fibulin 2,Down
EFHC2,-3.971426246,2.67e-06,EF-hand domain containing 2,Down
SPRR2D,4.43905553,8.11e-06,small proline rich protein 2D,Up
KCNN3,-2.929367699,1.39e-08,potassium calcium-activated channel subfamily N member 3,Down
FOLR1,4.607392945,1.19e-05,folate receptor alpha,Up
NEFL,-4.529232764,1.1e-05,neurofilament light chain,Down
C6,-4.127005645,4.88e-06,complement C6,Down
KLF9,-2.613025801,5.82e-10,KLF transcription factor 9,Down
MAL,-3.747230695,1.9e-06,"mal, T cell differentiation protein",Down
VSIG2,-3.131475959,1.3e-07,V-set and immunoglobulin domain containing 2,Down
OGN,-2.967880522,4.46e-08,osteoglycin,Down
SOX9,2.616562704,1.2e-09,SRY-box transcription factor 9,Up
RBM24,-2.98274749,5.06e-08,RNA binding motif protein 24,Down
CYP21A2,-3.655330754,1.62e-06,cytochrome P450 family 21 subfamily A member 2,Down
KIF4A,2.501892197,2.14e-10,kinesin family member 4A,Up
KCNIP3,-3.838250333,3.21e-06,potassium voltage-gated channel interacting protein 3,Down
SYNGR1,-3.523000095,1.12e-06,synaptogyrin 1,Down
MB,-3.261169885,3.66e-07,myoglobin,Down
EPOP,3.510197977,1.17e-06,elongin BC and polycomb repressive complex 2 associated protein,Up
LRRN2,-3.529940996,1.39e-06,leucine rich repeat neuronal 2,Down
PTN,-3.494197887,1.36e-06,pleiotrophin,Down
STRIP2,2.864313342,4.1e-08,striatin interacting protein 2,Up
FGFR1,-3.394263329,9.53e-07,fibroblast growth factor receptor 1,Down
ABCA8,-3.275305076,5.71e-07,ATP binding cassette subfamily A member 8,Down
KIF14,2.951626653,8.9e-08,kinesin family member 14,Up
ANGPTL1,-2.844056274,3.9e-08,angiopoietin like 1,Down
NKD2,2.987441573,1.15e-07,NKD inhibitor of WNT signaling pathway 2,Up
ERCC6L,2.729461733,1.44e-08,"ERCC excision repair 6 like, spindle assembly checkpoint helicase",Up
GPAT3,-2.718902369,1.35e-08,glycerol-3-phosphate acyltransferase 3,Down
ACKR1,-3.959194327,6.34e-06,atypical chemokine receptor 1 (Duffy blood group),Down
FHL1,-4.262785395,1.23e-05,four and a half LIM domains 1,Down
NUF2,2.961529796,1.23e-07,NUF2 component of NDC80 kinetochore complex,Up
CTSE,-3.142717994,4.07e-07,cathepsin E,Down
