Gene_Symbol,log2FC,P.Value,Gene_Description,Significance
ELOVL6,-1.258943954,0.001112525,ELOVL fatty acid elongase 6,Down
SUV39H2,1.382203497,0.001417558,SUV39H2 histone lysine methyltransferase,Up
UGGT2,1.330127619,0.001291713,UDP-glucose glycoprotein glucosyltransferase 2,Up
GGTA1,-2.179478669,0.002908976,glycoprotein alpha-galactosyltransferase 1 (inactive),Down
PLPP3,-1.235027433,0.001064406,phospholipid phosphatase 3,Down
AFG3L2,-1.094361748,0.000722386,AFG3 like matrix AAA peptidase subunit 2,Down
CD44,1.482534645,0.001682028,CD44 molecule (IN blood group),Up
CFAP20DC,2.27104456,0.003046614,CFAP20 domain containing,Up
RASL10B,2.256706671,0.003032504,RAS like family 10 member B,Up
POLR1B,1.251605307,0.001132284,RNA polymerase I subunit B,Up
MCM4,1.34961004,0.001383141,minichromosome maintenance complex component 4,Up
SLC30A4,-1.373792247,0.001446034,solute carrier family 30 member 4,Down
EDIL3,-1.923362261,0.002580982,EGF like repeats and discoidin domains 3,Down
CRAT,-1.402900027,0.0015219,carnitine O-acetyltransferase,Down
H2AC15,1.408345652,0.001542179,H2A clustered histone 15,Up
CC2D2A,-1.489209116,0.001737195,coiled-coil and C2 domain containing 2A,Down
MAST1,-2.907378471,0.003656055,microtubule associated serine/threonine kinase 1,Down
ZNF724,1.642957869,0.002106798,zinc finger protein 724,Up
STK33,-2.259008429,0.003100512,serine/threonine kinase 33,Down
TRPC4,-2.784391915,0.003597443,transient receptor potential cation channel subfamily C member 4,Down
KLB,-2.491955226,0.00335361,klotho beta,Down
PMFBP1,1.604546861,0.002041546,polyamine modulated factor 1 binding protein 1,Up
RAVER2,-1.157538669,0.000951862,"ribonucleoprotein, PTB binding 2",Down
PROSER1,1.294016336,0.001308488,proline and serine rich 1,Up
PTPRO,2.549357995,0.003419232,protein tyrosine phosphatase receptor type O,Up
CNNM4,-1.270528406,0.001249011,cyclin and CBS domain divalent metal cation transport mediator 4,Down
FOXN3,-1.215724412,0.001114406,forkhead box N3,Down
HEXIM1,-1.309285603,0.001365799,HEXIM P-TEFb complex subunit 1,Down
STPG1,-1.317275896,0.001389199,sperm tail PG-rich repeat containing 1,Down
IFT56,1.586976657,0.002054744,intraflagellar transport 56,Up
GPALPP1,1.310356384,0.001399014,GPALPP motifs containing 1,Up
CDK4,1.272442446,0.001302996,cyclin dependent kinase 4,Up
ATP6V1C2,1.666153301,0.002241781,ATPase H+ transporting V1 subunit C2,Up
RPS7,1.257356228,0.001281352,ribosomal protein S7,Up
RBM12B,1.31400063,0.001436333,RNA binding motif protein 12B,Up
GSDMA,2.166199361,0.003081563,gasdermin A,Up
BCL2L2,-1.363163505,0.001574229,BCL2 like 2,Down
LIF,1.486288736,0.001878552,LIF interleukin 6 family cytokine,Up
NCAPD2,1.183727176,0.001109034,non-SMC condensin I complex subunit D2,Up
KIT,-1.57471626,0.002089977,"KIT proto-oncogene, receptor tyrosine kinase",Down
ZNF485,1.314909221,0.001474189,zinc finger protein 485,Up
CAPN5,-1.332664582,0.001522636,calpain 5,Down
CDCA2,1.813734012,0.002584945,cell division cycle associated 2,Up
FILIP1,-3.411822579,0.004053422,filamin A interacting protein 1,Down
EYA4,-2.902104081,0.003799961,EYA transcriptional coactivator and phosphatase 4,Down
SLC1A1,-1.685695634,0.00236615,solute carrier family 1 member 1,Down
FBXW4,-1.203221126,0.001207268,F-box and WD repeat domain containing 4,Down
SLC38A4,-1.816834299,0.002634965,solute carrier family 38 member 4,Down
DDX27,1.177360172,0.001146997,DEAD-box helicase 27,Up
PDK4,-3.252219063,0.004018135,pyruvate dehydrogenase kinase 4,Down
CDC14A,-1.394832181,0.001729899,cell division cycle 14A,Down
PPP1R14A,-2.828041107,0.003786818,protein phosphatase 1 regulatory inhibitor subunit 14A,Down
AOX1,-1.541298953,0.002112739,aldehyde oxidase 1,Down
MIER3,-1.245254314,0.001360158,MIER family member 3,Down
DAB2IP,-1.169300789,0.001153904,DAB2 interacting protein,Down
GAB1,-1.150558841,0.001102486,GRB2 associated binding protein 1,Down
C15orf48,-1.488812918,0.001999482,chromosome 15 open reading frame 48,Down
BMP7,1.775830813,0.002606654,bone morphogenetic protein 7,Up
MUC12,-2.41198468,0.003480818,"mucin 12, cell surface associated",Down
GNAI1,-1.759844857,0.002584614,G protein subunit alpha i1,Down
HOXB8,2.852493944,0.003846771,homeobox B8,Up
BRIP1,1.49501404,0.002036011,BRCA1 interacting helicase 1,Up
PRMT3,1.223420686,0.001334472,protein arginine methyltransferase 3,Up
SLC20A2,-1.174710969,0.001200953,solute carrier family 20 member 2,Down
LY6G6C,2.968095306,0.003931849,lymphocyte antigen 6 family member G6C,Up
WLS,-1.397107547,0.001827894,Wnt ligand secretion mediator,Down
SRPX2,1.751964198,0.002623899,sushi repeat containing protein X-linked 2,Up
NUP58,1.245904835,0.001442994,nucleoporin 58,Up
TGFBR3,-1.528841202,0.002185291,transforming growth factor beta receptor 3,Down
GRHL2,1.383449777,0.001828394,grainyhead like transcription factor 2,Up
PAICS,1.293638559,0.001590608,phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase,Up
WDR75,1.172769708,0.001271385,WD repeat domain 75,Up
SNRPE,1.300571051,0.001643752,small nuclear ribonucleoprotein polypeptide E,Up
SPECC1L-ADORA2A,-1.181291566,0.001310409,SPECC1L-ADORA2A readthrough (NMD candidate),Down
PDXP,-1.426752661,0.001983438,pyridoxal phosphatase,Down
KRTAP5-1,1.620005155,0.0024566,keratin associated protein 5-1,Up
QTRT2,1.136647785,0.001206021,queuine tRNA-ribosyltransferase accessory subunit 2,Up
STARD8,-1.314744076,0.00172299,StAR related lipid transfer domain containing 8,Down
GNPDA1,1.277143485,0.00162246,glucosamine-6-phosphate deaminase 1,Up
CPNE5,-1.766344193,0.002773057,copine 5,Down
LRP11,1.259350017,0.001590159,LDL receptor related protein 11,Up
PCNA,1.370699797,0.001911705,proliferating cell nuclear antigen,Up
EEF1E1,1.272929385,0.001645691,eukaryotic translation elongation factor 1 epsilon 1,Up
IMPDH1,1.220708646,0.001500494,inosine monophosphate dehydrogenase 1,Up
ANO9,1.416977415,0.002050002,anoctamin 9,Up
CBX4,1.248096866,0.001594168,chromobox 4,Up
CPQ,-1.306536257,0.001762451,carboxypeptidase Q,Down
PUM3,1.122691107,0.001232149,pumilio RNA binding family member 3,Up
SYN1,-2.335063646,0.003602856,synapsin I,Down
AK1,-1.347846554,0.001884506,adenylate kinase 1,Down
PCID2,1.295023357,0.001747711,PCI domain containing 2,Up
TGIF2-RAB5IF,1.308390255,0.001797381,TGIF2-RAB5IF readthrough,Up
BRIX1,1.162392026,0.001373623,biogenesis of ribosomes BRX1,Up
KLHDC1,-2.0387413,0.003277917,kelch domain containing 1,Down
PDE8A,-1.198270352,0.001506891,phosphodiesterase 8A,Down
ACAA1,-1.216266251,0.001569155,acetyl-CoA acyltransferase 1,Down
ZNF195,1.288729212,0.001789626,zinc finger protein 195,Up
VIPR1,-1.407140784,0.002119046,vasoactive intestinal peptide receptor 1,Down
ERV3-1-ZNF117,1.407280584,0.002125887,ERV3-1-ZNF117 readthrough,Up
TWIST2,-3.018816762,0.004163602,twist family bHLH transcription factor 2,Down
LRRC10B,2.262841692,0.003604305,leucine rich repeat containing 10B,Up
CAPN2,-1.25805716,0.001728398,calpain 2,Down
H2BC6,1.444884785,0.002252779,H2B clustered histone 6,Up
A2M,-1.370935157,0.002064737,alpha-2-macroglobulin,Down
ASF1B,1.359725922,0.002065556,anti-silencing function 1B histone chaperone,Up
ACVRL1,-1.364069297,0.002077545,activin A receptor like type 1,Down
TTF2,1.190124636,0.001579618,transcription termination factor 2,Up
HDAC9,-1.925927068,0.003252158,histone deacetylase 9,Down
SDHA,-1.109679391,0.001364605,succinate dehydrogenase complex flavoprotein subunit A,Down
RIOK3,-1.242556142,0.001781177,RIO kinase 3,Down
ARL4D,-2.37474996,0.003800576,ADP ribosylation factor like GTPase 4D,Down
LIG1,1.242303952,0.001788736,DNA ligase 1,Up
ANKRD18B,1.712907739,0.002926652,ankyrin repeat domain 18B,Up
FILIP1L,-1.744266698,0.002984967,filamin A interacting protein 1 like,Down
CLSPN,1.411446561,0.0022624,claspin,Up
CD209,-1.519756769,0.002527128,CD209 molecule,Down
SUN2,-1.17565194,0.001605941,Sad1 and UNC84 domain containing 2,Down
EVPL,1.469250235,0.002433959,envoplakin,Up
IQCB1,1.124683946,0.001462104,IQ motif containing B1,Up
BCAS1,-3.062213654,0.004291827,brain enriched myelin associated protein 1,Down
TMEM127,-1.074266281,0.001303555,transmembrane protein 127,Down
ACTR5,1.214459159,0.00177546,actin related protein 5,Up
RPS21,1.356382971,0.002219851,ribosomal protein S21,Up
ASPHD1,1.605107728,0.00281672,aspartate beta-hydroxylase domain containing 1,Up
CIBAR1,1.391279796,0.002326944,CBY1 interacting BAR domain containing 1,Up
MTERF3,1.187798348,0.001749921,mitochondrial transcription termination factor 3,Up
DUSP3,-1.218957564,0.001846859,dual specificity phosphatase 3,Down
TRAF5,1.390476249,0.002336918,TNF receptor associated factor 5,Up
HSPA6,1.654552789,0.002947605,heat shock protein family A (Hsp70) member 6,Up
EVC2,-1.510650813,0.002643054,EvC ciliary complex subunit 2,Down
PSPH,1.324922303,0.002168596,phosphoserine phosphatase,Up
NR5A2,-1.493766308,0.002616324,nuclear receptor subfamily 5 group A member 2,Down
ZNRF3,1.32069085,0.002176934,zinc and ring finger 3,Up
H2AC18,1.297470994,0.002119591,H2A clustered histone 18,Up
NUDT6,-1.342290136,0.002250249,nudix hydrolase 6,Down
H2BC26,1.472236172,0.002593703,H2B clustered histone 26,Up
CXXC5,1.165014209,0.001736667,CXXC finger protein 5,Up
SMIM24,1.57221848,0.002841115,small integral membrane protein 24,Up
RPS19,1.111889485,0.001576493,ribosomal protein S19,Up
MAGI2,-2.507855678,0.004082818,"membrane associated guanylate kinase, WW and PDZ domain containing 2",Down
GRAMD1A,1.294631767,0.00214975,GRAM domain containing 1A,Up
DRD5,-2.662940889,0.004198758,dopamine receptor D5,Down
OXGR1,2.776338878,0.004271512,oxoglutarate receptor 1,Up
MTHFD2,1.261722071,0.002065775,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase",Up
RPL36A,1.256596664,0.002051888,ribosomal protein L36a,Up
SIAE,-1.361718578,0.002357366,sialic acid acetylesterase,Down
ZDHHC9,1.270624242,0.002101983,zinc finger DHHC-type palmitoyltransferase 9,Up
GNA14,-1.540655797,0.002810129,G protein subunit alpha 14,Down
ISX,-1.70746708,0.003159277,intestine specific homeobox,Down
RNF32,1.594470784,0.002943793,ring finger protein 32,Up
YEATS4,1.268716419,0.002132964,YEATS domain containing 4,Up
BTD,-1.095148207,0.001577976,biotinidase,Down
CYP4F12,-1.445317083,0.002638753,cytochrome P450 family 4 subfamily F member 12,Down
PCK1,-2.001818477,0.003654637,phosphoenolpyruvate carboxykinase 1,Down
ADGRF4,1.552120085,0.002894323,adhesion G protein-coupled receptor F4,Up
TRAK2,-1.083755267,0.001580029,trafficking kinesin protein 2,Down
H4C14,1.714558791,0.003231378,H4 clustered histone 14,Up
OBI1,1.197832029,0.001959903,ORC ubiquitin ligase 1,Up
SLC2A12,1.497354036,0.002788862,solute carrier family 2 member 12,Up
KATNAL1,-1.496233999,0.00280522,katanin catalytic subunit A1 like 1,Down
ACTR3B,1.172877823,0.00190778,actin related protein 3B,Up
PIBF1,1.336074517,0.002406182,progesterone immunomodulatory binding factor 1,Up
GPR52,2.309899185,0.0040453,G protein-coupled receptor 52,Up
NTRK3,-3.455119406,0.00466983,neurotrophic receptor tyrosine kinase 3,Down
CCDC183,1.557485502,0.002978231,coiled-coil domain containing 183,Up
SLC7A5,1.853793271,0.00352041,solute carrier family 7 member 5,Up
NAA25,1.093179146,0.001668323,"N-alpha-acetyltransferase 25, NatB auxiliary subunit",Up
HIF3A,-1.710279663,0.003285658,hypoxia inducible factor 3 subunit alpha,Down
KCNT2,-2.59703972,0.004291704,potassium sodium-activated channel subfamily T member 2,Down
ACADVL,-1.231207389,0.0021403,acyl-CoA dehydrogenase very long chain,Down
TEK,-1.409624317,0.002665975,TEK receptor tyrosine kinase,Down
AGTRAP,1.127810813,0.001844199,angiotensin II receptor associated protein,Up
RPA4,1.919971886,0.003665048,replication protein A4,Up
SGK2,-1.271039891,0.002307205,serum/glucocorticoid regulated kinase 2,Down
GLTP,-1.308453992,0.002419281,glycolipid transfer protein,Down
EIF2S2,1.078988829,0.001687492,eukaryotic translation initiation factor 2 subunit beta,Up
OTUD7B,-1.1234269,0.00187061,OTU deubiquitinase 7B,Down
ACTA1,-2.537488906,0.004302066,"actin alpha 1, skeletal muscle",Down
CFAP70,2.248481966,0.004076123,cilia and flagella associated protein 70,Up
PRKG1,-1.371689216,0.002647296,protein kinase cGMP-dependent 1,Down
SLC38A5,1.701070155,0.003376947,solute carrier family 38 member 5,Up
RASD1,-1.499373729,0.002987791,ras related dexamethasone induced 1,Down
FERMT1,2.012961138,0.003857353,FERM domain containing kindlin 1,Up
MYO1C,-1.203593775,0.00219187,myosin IC,Down
TCP11L1,-1.306779662,0.002533142,t-complex 11 like 1,Down
H2BC13,1.579287084,0.003207288,H2B clustered histone 13,Up
DIRAS3,-2.103729039,0.004009374,DIRAS family GTPase 3,Down
NXPE4,-2.069093921,0.003973203,neurexophilin and PC-esterase domain family member 4,Down
GNL3,1.193481145,0.002241457,G protein nucleolar 3,Up
VSTM5,-1.824903285,0.003674974,V-set and transmembrane domain containing 5,Down
SHLD1,1.528126066,0.003145166,shieldin complex subunit 1,Up
KIF12,1.55161836,0.003197363,kinesin family member 12,Up
CALM1,-1.13160398,0.002053051,calmodulin 1,Down
LRRFIP2,-1.042607488,0.001739297,LRR binding FLII interacting protein 2,Down
GPA33,-1.587431433,0.003300212,glycoprotein A33,Down
CLIC3,1.5945126,0.003322775,chloride intracellular channel 3,Up
HOXB2,-1.741781831,0.003590888,homeobox B2,Down
SRPK1,1.075380565,0.001900537,SRSF protein kinase 1,Up
LDLRAD2,-1.72192978,0.003581039,low density lipoprotein receptor class A domain containing 2,Down
LRP10,-1.073023587,0.001934504,LDL receptor related protein 10,Down
RBL1,1.369395785,0.002871786,RB transcriptional corepressor like 1,Up
POFUT1,1.116264429,0.002141709,protein O-fucosyltransferase 1,Up
HSPE1-MOB4,1.114680423,0.002137634,HSPE1-MOB4 readthrough,Up
GPSM2,1.468972794,0.00315879,G protein signaling modulator 2,Up
NXT1,1.365730082,0.002923934,nuclear transport factor 2 like export factor 1,Up
NFIC,-1.517460838,0.00328846,nuclear factor I C,Down
ODAD2,-2.915374728,0.004704057,outer dynein arm docking complex subunit 2,Down
SPAG5,1.516167406,0.003306987,sperm associated antigen 5,Up
PLEK2,1.249126401,0.002631548,pleckstrin 2,Up
GINS3,1.499079337,0.003293457,GINS complex subunit 3,Up
ABHD5,-1.105946892,0.002189627,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",Down
E2F3,1.190027211,0.002476412,E2F transcription factor 3,Up
CCT2,1.09153452,0.002158313,chaperonin containing TCP1 subunit 2,Up
SLC7A1,1.208836035,0.002560971,solute carrier family 7 member 1,Up
SLC49A3,-1.536111683,0.00341016,solute carrier family 49 member 3,Down
DPYD,-1.336783323,0.002950386,dihydropyrimidine dehydrogenase,Down
RAB27A,-1.299008864,0.002849548,"RAB27A, member RAS oncogene family",Down
ADCY6,-1.137143322,0.002352978,adenylate cyclase 6,Down
POLA1,1.193085351,0.002542465,"DNA polymerase alpha 1, catalytic subunit",Up
PHF6,1.135191298,0.002354554,PHD finger protein 6,Up
OBSCN,-1.485825505,0.003338981,"obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF",Down
SNRPB,1.270565775,0.002792532,small nuclear ribonucleoprotein polypeptides B and B1,Up
SIPA1L2,-1.279576316,0.002827839,signal induced proliferation associated 1 like 2,Down
NT5DC2,1.345728279,0.003017703,5'-nucleotidase domain containing 2,Up
CHCHD6,1.180039636,0.00253678,coiled-coil-helix-coiled-coil-helix domain containing 6,Up
TACR1,-2.537854585,0.004615451,tachykinin receptor 1,Down
ZNF121,1.142075714,0.002428711,zinc finger protein 121,Up
TRIM59,1.541451692,0.003506686,tripartite motif containing 59,Up
PROCR,1.400171622,0.00323043,protein C receptor,Up
CHRM4,-2.187079396,0.004400712,cholinergic receptor muscarinic 4,Down
RAB15,1.117574752,0.002427687,"RAB15, member RAS oncogene family",Up
SLC39A4,1.228046535,0.002794251,solute carrier family 39 member 4,Up
WDR7,-1.075620618,0.002296943,WD repeat domain 7,Down
PRKN,-1.391932411,0.003265528,parkin RBR E3 ubiquitin protein ligase,Down
ADRB1,-2.287422849,0.004517344,adrenoceptor beta 1,Down
FBXW10B,1.812272518,0.004043365,F-box and WD repeat domain containing 10B,Up
H2AC8,1.374463373,0.003242943,H2A clustered histone 8,Up
PCLAF,1.412580694,0.003340801,PCNA clamp associated factor,Up
DHX34,1.268097582,0.002998467,DExH-box helicase 34,Up
ECE1,-1.083039951,0.002399736,endothelin converting enzyme 1,Down
GJB1,1.369312931,0.003296363,gap junction protein beta 1,Up
ATOSB,-1.197847577,0.002828931,atos homolog B,Down
CMTM8,1.295285725,0.003123194,CKLF like MARVEL transmembrane domain containing 8,Up
MPLKIP,1.087064541,0.002473758,M-phase specific PLK1 interacting protein,Up
SIDT2,-1.149280293,0.002690806,SID1 transmembrane family member 2,Down
RNF11,-1.09157507,0.002541757,ring finger protein 11,Down
AP1S3,1.2825575,0.003155998,adaptor related protein complex 1 subunit sigma 3,Up
NPM1,1.070804967,0.002484707,nucleophosmin 1,Up
CSF1,-1.279576094,0.003164333,colony stimulating factor 1,Down
ARHGEF26,-2.15992102,0.004538045,Rho guanine nucleotide exchange factor 26,Down
MYB,1.703378141,0.004039896,"MYB proto-oncogene, transcription factor",Up
KCND3,-2.415194292,0.004719687,potassium voltage-gated channel subfamily D member 3,Down
TIA1,1.111012245,0.002660103,TIA1 cytotoxic granule associated RNA binding protein,Up
PRPH,-4.221881337,0.00524901,peripherin,Down
ARNT2,-1.593073146,0.003888085,aryl hydrocarbon receptor nuclear translocator 2,Down
PTP4A3,1.326734074,0.003326679,protein tyrosine phosphatase 4A3,Up
TTI1,1.12967424,0.002742596,TELO2 interacting protein 1,Up
CENPN,1.227228652,0.003061777,centromere protein N,Up
SLC6A4,1.964373159,0.0043932,solute carrier family 6 member 4,Up
GNA13,-1.139521025,0.002796766,G protein subunit alpha 13,Down
CLDN5,-2.20721857,0.004614765,claudin 5,Down
LETM1,-1.05359318,0.002492921,leucine zipper and EF-hand containing transmembrane protein 1,Down
NME1,1.4192344,0.003594204,NME/NM23 nucleoside diphosphate kinase 1,Up
RASSF3,-1.305413444,0.003329045,Ras association domain family member 3,Down
FGF9,-1.723249823,0.00414584,fibroblast growth factor 9,Down
ZC3H12C,-1.886797141,0.004354008,zinc finger CCCH-type containing 12C,Down
PAQR8,-1.469099771,0.003712744,progestin and adipoQ receptor family member 8,Down
TCF7L1,-2.481154228,0.004833636,transcription factor 7 like 1,Down
MIER1,-1.095613893,0.002693977,MIER1 transcriptional regulator,Down
TTLL11,-1.365151148,0.003506243,tubulin tyrosine ligase like 11,Down
H4C15,1.696482728,0.004150194,H4 clustered histone 15,Up
CSRP1,-2.834492792,0.005019823,cysteine and glycine rich protein 1,Down
SLC17A9,1.774323517,0.004267878,solute carrier family 17 member 9,Up
GBA2,-1.067277559,0.002651088,glucosylceramidase beta 2,Down
PBXIP1,-1.124245557,0.002882256,PBX homeobox interacting protein 1,Down
FCGR3A,1.313006243,0.003445252,Fc gamma receptor IIIa,Up
BSG,-1.084892016,0.002747442,basigin (Ok blood group),Down
TFR2,2.372256148,0.004828998,transferrin receptor 2,Up
VEGFA,1.448480774,0.00376059,vascular endothelial growth factor A,Up
WDR3,1.139735094,0.002946451,WD repeat domain 3,Up
ZNF578,-1.631738145,0.004103504,zinc finger protein 578,Down
FGFRL1,1.47797471,0.003847987,fibroblast growth factor receptor like 1,Up
ZFP36,-1.395421772,0.003685918,ZFP36 ring finger protein,Down
PDZRN3,-2.188975412,0.004741839,PDZ domain containing ring finger 3,Down
TMEM255A,-2.689393254,0.00503146,transmembrane protein 255A,Down
DNAI4,-1.89551024,0.004497009,dynein axonemal intermediate chain 4,Down
GIPC1,-1.13902606,0.003018627,GIPC PDZ domain containing family member 1,Down
WNT3,2.48594339,0.004949998,Wnt family member 3,Up
CLTB,-1.060132842,0.002767832,clathrin light chain B,Down
WDR5B,1.280609064,0.003472196,WD repeat domain 5B,Up
NUFIP1,1.321597777,0.003632652,nuclear FMR1 interacting protein 1,Up
DOLPP1,-1.149181788,0.003152072,dolichyldiphosphatase 1,Down
DIS3,1.096578549,0.002983348,"DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease",Up
ABL1,-1.14069153,0.003143313,"ABL proto-oncogene 1, non-receptor tyrosine kinase",Down
TCFL5,1.25820105,0.003503324,transcription factor like 5,Up
TDP2,-1.192450096,0.003318109,tyrosyl-DNA phosphodiesterase 2,Down
EEIG1,-1.219231426,0.003413906,estrogen-induced osteoclastogenesis regulator 1,Down
PNPLA1,2.862098463,0.005175782,patatin like phospholipase domain containing 1,Up
ANTXR2,-1.289317692,0.003660686,ANTXR cell adhesion molecule 2,Down
HM13,1.239408526,0.003545597,histocompatibility minor 13,Up
PPARGC1B,-1.727886976,0.00446582,PPARG coactivator 1 beta,Down
RPF2,1.138528552,0.003257128,ribosome production factor 2 homolog,Up
CCDC136,-2.418082292,0.005029748,coiled-coil domain containing 136,Down
CLIC5,-2.157360207,0.004888253,chloride intracellular channel 5,Down
JDP2,-1.098387948,0.003156436,Jun dimerization protein 2,Down
FIGNL1,1.278566447,0.003689008,fidgetin like 1,Up
RGL1,-1.22890874,0.003558809,ral guanine nucleotide dissociation stimulator like 1,Down
HSPB7,-4.180934052,0.005468501,heat shock protein family B (small) member 7,Down
NFIA,-1.113794762,0.003235865,nuclear factor I A,Down
TIGD1,1.402733912,0.004028223,tigger transposable element derived 1,Up
TMEM41A,1.253279515,0.003689962,transmembrane protein 41A,Up
SAMD5,1.552749556,0.004325527,sterile alpha motif domain containing 5,Up
RXRA,-1.146032609,0.003433675,retinoid X receptor alpha,Down
EFEMP2,-1.841904245,0.004702369,EGF containing fibulin extracellular matrix protein 2,Down
UCHL3,1.265872488,0.003775204,ubiquitin C-terminal hydrolase L3,Up
CTLA4,2.089372044,0.004920007,cytotoxic T-lymphocyte associated protein 4,Up
HCN2,-3.058793113,0.005338064,hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2,Down
ACTL6A,1.067226869,0.003214601,actin like 6A,Up
RCSD1,-1.228753833,0.003711295,RCSD domain containing 1,Down
LSM8,1.06980078,0.003238669,"LSM8 homolog, U6 small nuclear RNA associated",Up
FAM114A1,-1.076943674,0.003335235,family with sequence similarity 114 member A1,Down
RPN2,1.099066603,0.003409486,ribophorin II,Up
TNFRSF11A,-1.2480484,0.00383809,TNF receptor superfamily member 11a,Down
SMC4,1.082691008,0.003357994,structural maintenance of chromosomes 4,Up
SHROOM3,-1.168716373,0.003654142,shroom family member 3,Down
ANXA3,1.339562982,0.004110159,annexin A3,Up
YAE1,1.203708139,0.003799435,YAE1 maturation factor of ABCE1,Up
CLIP3,-2.306182615,0.00516144,CAP-Gly domain containing linker protein 3,Down
CDC42BPA,-1.018010781,0.003247569,CDC42 binding protein kinase alpha,Down
RPIA,1.039433137,0.003328745,ribose 5-phosphate isomerase A,Up
GALK1,1.190302377,0.003813716,galactokinase 1,Up
TMEM97,1.311054886,0.004141507,transmembrane protein 97,Up
RPL36A-HNRNPH2,1.164797187,0.003786403,RPL36A-HNRNPH2 readthrough,Up
CCL13,-1.768888723,0.004821254,C-C motif chemokine ligand 13,Down
ZMIZ1,-1.167880803,0.003811557,zinc finger MIZ-type containing 1,Down
APC,-1.10593207,0.003634149,APC regulator of WNT signaling pathway,Down
FIRRM,1.368178298,0.004276316,FIGNL1 interacting regulator of recombination and mitosis,Up
ATF3,-1.730057888,0.004794521,activating transcription factor 3,Down
SECISBP2L,-1.186444728,0.003876978,SECIS binding protein 2 like,Down
SMYD5,1.002702405,0.003324515,SMYD family member 5,Up
MMS22L,1.25990651,0.004092067,"MMS22 like, DNA repair protein",Up
GPT2,1.307707401,0.00421919,glutamic--pyruvic transaminase 2,Up
SPTBN5,1.447111452,0.004480283,"spectrin beta, non-erythrocytic 5",Up
ANKRD18A,1.450164365,0.004486909,ankyrin repeat domain 18A,Up
VAPA,-1.117167702,0.003771532,VAMP associated protein A,Down
KCNA6,-2.255317452,0.005238023,potassium voltage-gated channel subfamily A member 6,Down
PTPRR,-2.299872753,0.005269618,protein tyrosine phosphatase receptor type R,Down
KLHL5,-1.311261853,0.004289378,kelch like family member 5,Down
PPP1R12C,-1.105249365,0.003779782,protein phosphatase 1 regulatory subunit 12C,Down
RINL,1.429165083,0.004509689,Ras and Rab interactor like,Up
OR2A42,1.715644442,0.004904182,olfactory receptor family 2 subfamily A member 42,Up
KNSTRN,1.164307449,0.004018684,kinetochore localized astrin (SPAG5) binding protein,Up
TRIM2,1.164369468,0.004020985,tripartite motif containing 2,Up
JOSD1,-1.196489527,0.004121801,Josephin domain containing 1,Down
SPC24,1.345028081,0.004455909,SPC24 component of NDC80 kinetochore complex,Up
ZNF26,1.119437553,0.003959032,zinc finger protein 26,Up
RCBTB1,1.151912647,0.00405355,RCC1 and BTB domain containing protein 1,Up
PPIH,1.15951777,0.004077317,peptidylprolyl isomerase H,Up
CCT6A,1.057609406,0.003794905,chaperonin containing TCP1 subunit 6A,Up
REEP6,1.685246052,0.004945598,receptor accessory protein 6,Up
PRKDC,1.023890304,0.003699467,"protein kinase, DNA-activated, catalytic subunit",Up
GPR160,1.226968572,0.004282858,G protein-coupled receptor 160,Up
BOP1,1.159669092,0.00412487,BOP1 ribosomal biogenesis factor,Up
FNDC10,1.750379778,0.005031122,fibronectin type III domain containing 10,Up
RUNDC3B,-1.702494773,0.004995492,RUN domain containing 3B,Down
PSMA7,1.105213707,0.003990017,proteasome 20S subunit alpha 7,Up
PGF,1.627696413,0.004928494,placental growth factor,Up
B3GNT7,-2.448415378,0.005446374,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7",Down
DIP2C,-1.468917941,0.004753121,disco interacting protein 2 homolog C,Down
H2AC19,1.215141752,0.004323221,H2A clustered histone 19,Up
MOCS1,-1.259530481,0.004426723,molybdenum cofactor synthesis 1,Down
RAB30,-1.292306303,0.00449549,"RAB30, member RAS oncogene family",Down
ALDH4A1,1.313645099,0.004546509,aldehyde dehydrogenase 4 family member A1,Up
SKP2,1.052900399,0.003937196,S-phase kinase associated protein 2,Up
STIM1,-1.091068344,0.004055373,stromal interaction molecule 1,Down
SMAD7,-1.088957343,0.00406554,SMAD family member 7,Down
STK31,2.468503811,0.00549962,serine/threonine kinase 31,Up
SPMIP4,-1.211672617,0.00440651,sperm microtubule inner protein 4,Down
MAGI1,-1.164711914,0.004324669,"membrane associated guanylate kinase, WW and PDZ domain containing 1",Down
YTHDF1,1.061269586,0.004058516,YTH N6-methyladenosine RNA binding protein F1,Up
ZNF793,-1.491105458,0.004896736,zinc finger protein 793,Down
WDR43,1.098314884,0.004185961,WD repeat domain 43,Up
GTF2F2,1.214067177,0.004472838,general transcription factor IIF subunit 2,Up
MOCS3,1.146533084,0.00437115,molybdenum cofactor synthesis 3,Up
USP17L4,1.646076692,0.005132041,ubiquitin specific peptidase 17 like family member 4,Up
POLR1C,1.054520833,0.004165048,RNA polymerase I and III subunit C,Up
