Gene_ID,metap,metafc,idx,Gene_Symbol,Gene_Description
55332,0.00379802252197061,0.861502193419003,2.08521649200425,DRAM1,DNA damage regulated autophagy modulator 1
8774,0.00132963110781275,-0.723786167336377,-2.08180359469584,NAPG,NSF attachment protein gamma
56061,0.00072402416292222,0.662774930296972,2.08127694664982,UBFD1,ubiquitin family domain containing 1
9295,0.00111516755878199,0.703912678638629,2.07841472036557,SRSF11,serine and arginine rich splicing factor 11
100532732,0.00728975762342157,0.971376105391671,2.07610943596927,MSH5-SAPCD1,MSH5-SAPCD1 readthrough (NMD candidate)
219539,0.0535941675556746,-1.63352738416503,-2.07602131730856,YPEL4,yippee like 4
160857,0.0226163516165233,1.2607991116294,2.07474259021389,CCDC122,coiled-coil domain containing 122
8881,0.00345042069265998,0.842509801840234,2.07436693153697,CDC16,cell division cycle 16
9372,0.000535933761896498,-0.634155217071354,-2.07425124968276,ZFYVE9,zinc finger FYVE-type containing 9
27071,0.0131495104424598,1.10113705710784,2.07133836449616,DAPP1,dual adaptor of phosphotyrosine and 3-phosphoinositides 1
2258,0.0393464230719741,-1.4739394695604,-2.07102459960683,FGF13,fibroblast growth factor 13
3569,0.00659059401926548,-0.948592594676736,-2.0689520108963,IL6,interleukin 6
9526,0.00107169714304112,-0.695887462383789,-2.06673560861045,MPDU1,mannose-P-dolichol utilization defect 1
57537,0.0149484981135127,-1.13163890557722,-2.06569641834243,SORCS2,sortilin related VPS10 domain containing receptor 2
54606,0.00325495542743473,0.830288177600646,2.06530444076792,DDX56,DEAD-box helicase 56
1717,0.00831712129679212,0.992618763588592,2.06467379395644,DHCR7,7-dehydrocholesterol reductase
23370,0.00529130930402506,-0.90661107707891,-2.06384286538513,ARHGEF18,Rho/Rac guanine nucleotide exchange factor 18
115761,0.0597439995879504,1.68609270245805,2.0632812620675,ARL11,ADP ribosylation factor like GTPase 11
5048,0.00157498949468644,-0.736026932072463,-2.0628791243644,PAFAH1B1,platelet activating factor acetylhydrolase 1b regulatory subunit 1
4831,0.00513950196630608,0.900829711384354,2.06207034197992,NME2,NME/NM23 nucleoside diphosphate kinase 2
4163,0.00816381135562724,-0.987128539252123,-2.06123005145889,MCC,MCC regulator of WNT signaling pathway
6443,0.00441777716786106,-0.873779301515332,-2.05757217331819,SGCB,sarcoglycan beta
4094,0.0100203379240885,-1.02922991797064,-2.05755167655365,MAF,MAF bZIP transcription factor
155038,0.0160249718824944,-1.14567565588347,-2.05672005806086,GIMAP8,"GTPase, IMAP family member 8"
84433,0.0338089990132482,1.39697367073365,2.05490312958595,CARD11,caspase recruitment domain family member 11
100534593,0.00439930640492668,0.870954953208295,2.0525061942618,STX16-NPEPL1,STX16-NPEPL1 readthrough (NMD candidate)
23212,0.0101199434911201,1.02817888704147,2.05103377389353,RRS1,ribosome biogenesis regulator 1 homolog
54529,0.00154541812763226,0.728766747213996,2.04852980156035,ASNSD1,asparagine synthetase domain containing 1
399687,0.00182442565200611,-0.747525694568626,-2.04737856215842,MYO18A,myosin XVIIIA
154007,0.000478709452605909,0.616337403756611,2.04619580223515,SNRNP48,small nuclear ribonucleoprotein U11/U12 subunit 48
337867,0.00584194116968788,0.916088293665771,2.04603082273599,UBAC2,UBA domain containing 2
121504,0.000185217580897945,0.54812784677028,2.04578731498835,H4C16,H4 histone 16
56127,0.0383721480998122,1.44426000832459,2.04504890188611,PCDHB9,protocadherin beta 9
3326,0.00170820626495,0.738955021174483,2.04502823357604,HSP90AB1,heat shock protein 90 alpha family class B member 1
