Gene_ID,Gene_Symbol,Gene_Description,log2FoldChange,adjusted.P.Value,Regulation
25975,EGFL6,EGF like domain multiple 6,4.08030427351471,1.29698993702103e-09,UP
23551,RASD2,RASD family member 2,-3.42532203276468,6.187452416621e-13,DOWN
23066,CAND2,cullin associated and neddylation dissociated 2 (putative),-3.78274561528327,9.00671499557995e-11,DOWN
1836,SLC26A2,solute carrier family 26 member 2,-3.37719953753591,4.05142091295154e-13,DOWN
51285,RASL12,RAS like family 12,-3.32557076710712,1.56387997409222e-13,DOWN
3131,HLF,"HLF transcription factor, PAR bZIP family member",-3.57737984547419,1.18469191501164e-11,DOWN
651,BMP3,bone morphogenetic protein 3,-5.96486353459224,1.81257487787812e-06,DOWN
10170,DHRS9,dehydrogenase/reductase 9,-3.80775743261786,2.16664185127519e-10,DOWN
1268,CNR1,cannabinoid receptor 1,-5.03849865351481,2.41040690206199e-07,DOWN
64063,PRSS22,serine protease 22,4.32635023029611,2.0257129539638e-08,UP
4488,MSX2,msh homeobox 2,3.64884339918562,1.31312102226187e-10,UP
56977,STOX2,storkhead box 2,-3.46134324296483,1.44810823253582e-11,DOWN
51676,ASB2,ankyrin repeat and SOCS box containing 2,-3.85712119418938,1.10179865990872e-09,DOWN
4225,MEP1B,meprin A subunit beta,-3.82011255684934,8.36884025070876e-10,DOWN
6997,CRIPTO,"cripto, EGF-CFC family member",3.59976446312871,1.04738420803003e-10,UP
6263,RYR3,ryanodine receptor 3,-3.80630649455533,8.34354817506091e-10,DOWN
7038,TG,thyroglobulin,3.81715149717771,1.15341766418447e-09,UP
6799,SULT1A2,sulfotransferase family 1A member 2,-3.27981449470996,1.66754756217124e-12,DOWN
57761,TRIB3,tribbles pseudokinase 3,3.50577732822858,5.44973898285733e-11,UP
4314,MMP3,matrix metallopeptidase 3,4.68198272249204,1.7409284824847e-07,UP
9607,CARTPT,CART prepropeptide,-6.65759451949687,8.85753165894675e-06,DOWN
6374,CXCL5,C-X-C motif chemokine ligand 5,4.85069743154489,3.36318357370747e-07,UP
84951,TNS4,tensin 4,3.41046418638215,6.03189672910404e-11,UP
2899,GRIK3,glutamate ionotropic receptor kainate type subunit 3,-3.94210129669112,8.19327494330902e-09,DOWN
6820,SULT2B1,sulfotransferase family 2B member 1,4.06326967315492,1.91333126176978e-08,UP
23305,ACSL6,acyl-CoA synthetase long chain family member 6,4.59296151862512,2.09838154410354e-07,UP
147111,NOTUM,"notum, palmitoleoyl-protein carboxylesterase",5.67829338799764,3.18054849700819e-06,UP
7857,SCG2,secretogranin II,-4.74915611018596,4.16778696714932e-07,DOWN
159296,NKX2-3,NK2 homeobox 3,-3.59401255546357,9.16144587758079e-10,DOWN
6517,SLC2A4,solute carrier family 2 member 4,-3.37211624503076,9.5735951599206e-11,DOWN
127534,GJB4,gap junction protein beta 4,4.35926027261723,1.18462129382618e-07,UP
4148,MATN3,matrilin 3,4.48411256990565,2.19239833524715e-07,UP
9423,NTN1,netrin 1,-3.5487680891793,9.40292027323411e-10,DOWN
51176,LEF1,lymphoid enhancer binding factor 1,3.55562656310535,1.14928544489189e-09,UP
6533,SLC6A6,solute carrier family 6 member 6,3.11583549091579,4.73958111758003e-12,UP
4070,TACSTD2,tumor associated calcium signal transducer 2,4.52210702981942,2.91835285905424e-07,UP
203859,ANO5,anoctamin 5,-3.49280694075763,7.30022715736243e-10,DOWN
3294,HSD17B2,hydroxysteroid 17-beta dehydrogenase 2,-3.41105734941106,3.65958950261875e-10,DOWN
6335,SCN9A,sodium voltage-gated channel alpha subunit 9,-3.63861249558566,3.2061008255447e-09,DOWN
2651,GCNT2,glucosaminyl (N-acetyl) transferase 2 (I blood group),-3.31768921032285,1.33984706490706e-10,DOWN
84940,CORO6,coronin 6,-3.40036174830562,3.72484559458239e-10,DOWN
11075,STMN2,stathmin 2,-3.57952383298029,2.87067832401706e-09,DOWN
23148,NACAD,NAC alpha domain containing,-4.20433462231349,1.46823826562515e-07,DOWN
64067,NPAS3,neuronal PAS domain protein 3,-4.57047697378736,6.02458417904956e-07,DOWN
8549,LGR5,leucine rich repeat containing G protein-coupled receptor 5,3.49195627181197,2.31104949675426e-09,UP
197257,LDHD,lactate dehydrogenase D,-3.27477227000717,4.85860858611655e-10,DOWN
6297,SALL2,spalt like transcription factor 2,-4.0845467243134,1.52992063432739e-07,DOWN
11065,UBE2C,ubiquitin conjugating enzyme E2 C,3.16030376982341,1.57803883567899e-10,UP
10309,CCNO,cyclin O,4.45776702665873,6.11969039911208e-07,UP
5125,PCSK5,proprotein convertase subtilisin/kexin type 5,-2.820852601129,4.53079650124023e-13,DOWN
10590,SCGN,"secretagogin, EF-hand calcium binding protein",-3.82888248635991,4.85388647027218e-08,DOWN
23650,TRIM29,tripartite motif containing 29,4.01998244936157,1.31339523946528e-07,UP
85407,NKD1,NKD inhibitor of WNT signaling pathway 1,3.41654038417387,3.58078866494139e-09,UP
