Symbol,Degree,Betweenness,Closeness,Eigenvector,Log2FC
H2AC17,28,9.40568652509977e-05,0.243448689737948,0.0395827632559036,2.104802077
ORC1,28,0.000352879968532068,0.258606034849129,0.168228896008734,1.955105513
H3C7,28,0.000178681077375193,0.245660072668551,0.0467392869210203,1.624722985
MYBL2,27,0.000536312364128997,0.263305928169624,0.272654884757164,2.891427138
NOP58,27,0.00148920992373776,0.220471014492754,0.000780407852905462,1.488671575
WDR3,27,0.000400488986715747,0.215818407519064,0.000706296696892838,1.139735094
CKS2,27,0.000102996703633275,0.256048811277088,0.293331042038166,2.110883119
H2BC11,27,0.000309388063546542,0.245115810674723,0.038477789738435,1.784286406
H3C11,27,0.000170428281881929,0.24561049445005,0.046283635543464,1.742059328
H3C8,27,0.00021534493380457,0.247558991049634,0.0504687086476987,1.957183723
MND1,26,0.0045053070375278,0.260376551133932,0.254300341032204,1.683030594
BRIX1,26,0.00126594027058915,0.223343732795008,0.000768268885807642,1.162392026
WDR43,26,0.000387183075239385,0.216009939652112,0.000764787100131833,1.098314884
H2BC9,26,0.000159528046656591,0.24660587639311,0.0452470323037114,1.59458537
UHRF1,26,0.000733477779990681,0.254389632107023,0.198468517431676,1.94176403
UBE2T,26,0.000253176605640115,0.247609359104781,0.24988120040793,1.731857081
FANCD2,25,0.000711265466621182,0.249180999180999,0.0831778424094318,1.44409231
DCAF13,25,0.00392468037227803,0.224331797235023,0.00652275837268748,1.565587491
CXCL10,25,0.00560117558452862,0.255564888702226,0.000310043717139886,2.463229669
WDR75,25,0.000330742855660234,0.215665426191742,0.000687804592151659,1.172769708
H2AC14,25,3.22711448316061e-05,0.233007849894697,0.0241515316141789,1.849539353
ERCC6L,25,0.0014116059538264,0.251706308169597,0.27726021259926,2.729461733
CKAP2,25,1.9884835367285e-07,0.248316670067333,0.325695828053793,2.214717966
CXCL12,25,0.0069092321966649,0.283682983682984,0.00147643369250045,-2.378401968
POLR1B,25,0.00857157856988783,0.242526903148665,0.00218853829281082,1.251605307
H2BC15,25,0.000144886329683806,0.246256576284905,0.0443369137424848,1.552314779
KIT,24,0.0222622062782055,0.295531811559009,0.00221268276091816,-1.57471626
ATR,24,0.00106400033948259,0.25762066045724,0.130341438309029,1.010340089
CENPW,24,0.00028782610284392,0.236264802950883,0.126953802136345,2.073071088
CENPK,24,0.000206873897870067,0.24791199837034,0.169453288671345,1.803728059
PUM3,24,0.00271183048421276,0.237324492979719,0.00153955702611805,1.122691107
ADCY5,24,0.0133009311182132,0.276151577036533,0.000531766515273434,-3.699359379
PRKCB,24,0.0247125821415359,0.288867790173273,0.0023950279034121,-2.081698719
CALM1,24,0.0280704886993805,0.293253012048193,0.00394862060294446,-1.13160398
SPC24,24,1.97147312105333e-05,0.249079001227998,0.266545626123946,1.345028081
DEPDC1B,23,2.19992363946351e-05,0.248824371294214,0.259910076043597,2.65144534
RB1,23,0.00416669870571901,0.292407496395964,0.0856032828690421,1.037619309
ADCY9,23,0.00994197663721797,0.270685053380783,0.000336925130797688,-2.105223375
ESCO2,23,0.000833843704719506,0.249641025641026,0.180041162587481,1.575138618
H2AC11,23,5.17947433035886e-05,0.240181567002171,0.033579333203643,1.691321611
GNL3,23,0.00265260382793289,0.237509758001561,0.00160744267137304,1.193481145
ACTL6A,23,0.00443890519438294,0.255779739386297,0.0245171928633524,1.067226869
GTSE1,23,4.03074263987258e-05,0.252804320731201,0.279564028998303,1.86998389
TIMELESS,23,0.00416037012468063,0.231897865853659,0.0886317656918926,1.325549888
H2AC15,23,5.17947433035886e-05,0.240181567002171,0.0335793332036431,1.408345652
RECQL4,23,0.000664580284623496,0.233231123035646,0.0843593296314399,1.660297902
CAMK2A,23,0.0114590374900181,0.277220956719818,0.000571427428943778,-3.565665895
PPARGC1A,22,0.0367402869855362,0.291776552385519,0.0019551700064539,-2.17018965
NPM1,22,0.0443888877006064,0.297919216646267,0.0533719479791719,1.070804967
FOS,22,0.0153822883837301,0.298943748464751,0.0105572986468583,-2.083678995
BLM,22,0.00294263520836413,0.266418563922942,0.0843088591967825,2.006351586
DKC1,22,0.00570688965385729,0.215360113254291,0.000793102005910185,1.555436915
AOX1,22,0.00907100994211058,0.215436360417773,1.04773801399246e-05,-1.541298953
CCNF,22,4.75989107780386e-05,0.253488856488232,0.243228854362921,1.603321965
KPNA2,22,0.00498739589210282,0.272747646795159,0.208179499604759,1.404603001
H2AC16,22,4.95922268371958e-05,0.240134175217048,0.0328710488274814,1.94686199
RPS7,22,0.00675133049620651,0.219160813974428,0.000326645121753534,1.257356228
GINS2,21,4.77442079614508e-05,0.232651500669088,0.135529818798816,1.750841398
KAT2B,21,0.00670683981084953,0.280997460170861,0.0403042835199655,-1.157254359
ITPR1,21,0.0215007126946612,0.284944977756966,0.00105418679542014,-1.555536449
NCAPD2,21,2.93994388189939e-05,0.245560936238902,0.213921525793761,1.183727176
FLNC,21,0.0168454989183401,0.2715911626869,0.000834769468489539,-4.491884084
RYR2,21,0.00908338277102447,0.272503358710255,0.00147276204296703,-3.285796247
HEATR1,21,0.00027051079312667,0.214676309754807,0.000457682662326114,1.054562083
ABL1,21,0.0195978095257641,0.27919247533838,0.0124729120740363,-1.14069153
CXCL1,21,0.000402189415767677,0.248671843073151,0.000367512088766008,3.062670999
DDX27,21,0.000688959619510545,0.22115209885517,0.00070845855290117,1.177360172
ATAD5,20,3.24669422560854e-05,0.232918660287081,0.0904562098052305,1.870907054
MET,20,0.00771678411860139,0.257239484252801,0.000506181625435037,1.939425581
