Symbol,Module,Degree,Log2FC
GPSM2,5,3,1.468972794
CPE,5,3,-1.388577245
GTF2IRD1,5,3,2.065770838
JPH2,5,3,-4.568020685
ADGRG1,5,3,1.465398905
ABCC8,5,3,-3.301953891
NLGN1,5,3,-7.452145085
RASD1,5,2,-1.499373729
FLRT1,5,2,-2.923164201
STRIP2,5,2,2.864313342
CNIH3,5,2,2.438844449
OSBPL3,5,2,2.00611327
MAPK15,5,2,2.240709931
DMPK,5,2,-2.323064853
ATP2A3,5,2,-1.776679987
KCNB1,5,2,-6.803732613
AP1S3,5,2,1.2825575
DAPK1,5,2,-1.569922014
SCN9A,5,2,-3.638612496
CHRM4,5,2,-2.187079396
MPP2,5,2,-3.984414242
GPR17,5,2,-3.908740052
PRRT2,5,2,-2.008094685
SLMAP,5,2,-1.189877802
ECE1,5,2,-1.083039951
DPP6,5,2,-7.227860229
MAGI1,5,2,-1.164711914
CARD14,5,2,2.563406703
PROCR,5,1,1.400171622
UNC5CL,5,1,2.330355804
MAST1,5,1,-2.907378471
PKD1,5,1,-1.125070374
SLC1A1,5,1,-1.685695634
RGS9,5,1,-2.685234864
GPAT3,5,1,-2.718902369
SRI,5,1,-1.429306087
MALL,5,1,-1.85226482
KCNA6,5,1,-2.255317452
KCNIP3,5,1,-3.838250333
TRPV3,5,1,-1.861832289
HOMER2,5,1,-4.687113911
CAVIN2,5,1,-3.544975122
FKBP10,5,1,1.632552503
IFITM1,5,1,1.753633613
SGK2,5,1,-1.271039891
NAALADL1,5,1,-2.370265097
PLEKHG4,5,1,1.910369634
SIPA1L2,5,1,-1.279576316
GPR37L1,5,1,-2.06171266
STARD8,5,1,-1.314744076
INSC,5,1,-2.788181251
SYNPO,5,1,-2.308778351
BMX,5,1,-2.909123098
P2RY14,5,1,-2.241226758
CNGA3,5,1,-4.997652337
CDC42BPA,5,1,-1.018010781
PPP1R14A,5,1,-2.828041107
CHP2,5,1,-3.138301678
TESC,5,1,2.825713644
LPP,5,1,-2.131118737
CNTNAP3,5,1,-3.356501079
NKD2,5,1,2.987441573
TACR2,5,1,-5.2992802
ERO1A,5,1,1.146350952
CNKSR2,5,1,-4.998279497
OR2A42,5,1,1.715644442
OR51E2,5,1,-4.046200923
TAS2R46,5,1,3.929907242
GPR52,5,1,2.309899185
CLIC3,5,1,1.5945126
PPM1L,5,1,-1.460651787
MAST2,5,1,-1.276860658
OBSCN,5,1,-1.485825505
FHL1,5,1,-4.262785395
PKIG,5,1,-1.445215205
GKAP1,5,1,-1.52521949
GDPD3,5,1,-1.652593957
AP3B2,5,1,-3.268040936
TENM2,5,1,-2.409312622
FLNC,6,21,-4.491884084
VCL,6,19,-2.71310204
TPM1,6,18,-2.302817718
DMD,6,18,-3.713205752
ACTA1,6,17,-2.537488906
TLN1,6,14,-1.442118606
TNNI3,6,14,4.54616694
VTN,6,13,2.973548195
TLN2,6,13,-1.397431203
TNNT2,6,13,3.223397723
