ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
GO:0016525,negative regulation of angiogenesis,90,-0.48087935269492,-1.45410447365584,0.0229999648627385,0.112567688145859,0.0680863929580288,1926,"tags=23%, list=11%, signal=21%",4881/30832/22905/9723/3339/10516/493/5140/23166/7122/55333/7010/10365/153090/5797/11126/6833/9510/57556/9314/577,0.352487857583619
GO:0060997,dendritic spine morphogenesis,51,-0.521549740853252,-1.45285396636301,0.0494309450405195,0.185351097358972,0.112109326022869,2984,"tags=41%, list=17%, signal=34%",4088/5728/85358/26115/22924/8499/1742/29904/10611/2043/5048/8976/5649/120892/5063/158866/9912/816/1501/547/22871,0.321775918075361
GO:0051258,protein polymerization,252,-0.428359674481888,-1.45223869579996,0.00306069450940587,0.0268920214144808,0.0162655977716232,2002,"tags=21%, list=12%, signal=19%",51466/832/3071/29767/11078/51652/4131/5581/1639/81553/57606/6249/4134/23580/2258/91663/10602/8976/118/6622/25802/2314/25999/5071/25/57704/11076/395/57731/6356/25959/256949/845/122060/50853/6840/5516/10178/5063/4133/65018/4137/6710/4747/57482/85477/23500/2934/11075/51676/7111/11170,0.431707695803346
GO:1901379,regulation of potassium ion transmembrane transport,45,-0.528557899657391,-1.45170543900265,0.0366275533924609,0.154113642692115,0.0932153996352158,3723,"tags=56%, list=21%, signal=44%",9465/288/11060/9722/3790/9472/3759/967/30819/3755/5999/2316/7881/23327/483/57463/57628/80333/51719/857/3781/2273/30818/287/1804,0.321775918075361
GO:0040008,regulation of growth,417,-0.405656124611652,-1.45153202472259,0.00070743683026945,0.00913915096334907,0.0055278013970319,3175,"tags=27%, list=18%, signal=22%",694/9564/79960/79109/6909/10276/25942/4088/9472/6195/6595/7003/5997/1031/116224/80128/10235/5728/57142/623/984/2053/2690/2475/4633/5999/64321/6098/207/1956/23327/9699/9826/9362/4489/23499/7431/79594/9306/6586/10758/4881/5048/10439/1954/4131/4089/56963/28514/26524/5802/27086/5467/55777/3897/23414/2258/2487/1398/3643/80031/1630/29948/83667/4092/10071/5071/25/57699/1410/3371/10110/7049/22999/94/634/596/8835/6665/58189/1026/817/4494/8425/6387/4133/4137/144402/4502/54825/4495/2045/6446/4208/6422/2273/4496/1946/2263/6548/4493/4501/2247/4593/2596/4499/9211/60676/32/9423/11170,0.477270815362862
GO:0046854,phosphatidylinositol phosphate biosynthetic process,57,-0.514526793788983,-1.45072029048123,0.0313817857279027,0.138902211226364,0.0840147887202145,4000,"tags=39%, list=23%, signal=30%",375133/5305/5287/145567/5289/8867/3631/10380/5297/5293/57217/5298/8678/3613/23396/3612/5295/57605/22979/8395/3707/3706,0.321775918075361
GO:0005977,glycogen metabolic process,66,-0.49502594129544,-1.44970223153832,0.0255682245728689,0.121201632289777,0.0733086207877301,4157,"tags=41%, list=24%, signal=31%",5167/2997/3479/79660/89801/55829/5236/8445/55062/51763/2548/2992/5260/5502/5837/207/51422/34/5500/5507/3643/178/23710/7957/7360/8987/10580,0.352487857583619
GO:0098739,import across plasma membrane,203,-0.430696982102699,-1.44891201208635,0.00411523893520026,0.0335255898603456,0.020277901438497,2567,"tags=28%, list=15%, signal=24%",9368/781/5999/23596/5621/207/51422/6560/23327/483/6534/478/55625/53826/84230/5295/9495/54795/53916/3768/6542/8913/5532/493/51548/8912/3643/388581/610/477/55600/55089/6505/6549/6338/5906/775/6340/285195/162514/55022/206358/55198/6833/9607/6546/1261/6548/5023/6550/773/340024/10580/287/6517/5348/343,0.407017918923954
GO:0005976,polysaccharide metabolic process,81,-0.479560840020164,-1.44876666161035,0.019628761648766,0.100216376232266,0.0606157209530531,4157,"tags=37%, list=24%, signal=28%",5167/2997/3479/79660/89801/55829/5236/8445/1950/55062/51763/8972/2548/2992/5260/2131/5502/5837/207/51422/34/5500/5507/3643/178/23710/7957/7360/8987/10580,0.352487857583619
GO:0098656,monoatomic anion transmembrane transport,99,-0.470743838059885,-1.44797233013987,0.0172991540038009,0.090708677283088,0.0548650038739073,1390,"tags=18%, list=8%, signal=17%",50636/57348/54831/1187/53405/6505/1188/8671/1181/22802/54102/2743/57101/203859/1811/266675/1836/5348,0.352487857583619
GO:0070830,bicellular tight junction assembly,48,0.508754080977753,1.44697193877913,0.0351113893380905,0.149229751648081,0.0902613856524693,699,"tags=10%, list=4%, signal=10%",9076/1830/9080/1894/79977,0.321775918075361
GO:0032868,response to insulin,209,-0.427467332792503,-1.44692318467724,0.00639164442511101,0.0460255669833286,0.0278384933666088,2828,"tags=29%, list=16%, signal=24%",4303/5580/10999/847/5009/5894/2690/2475/645/51043/6655/207/9663/29904/55625/858/132864/6430/10000/5295/3033/4644/79746/2805/2308/5140/1408/3643/5164/490/5595/3158/388581/8850/5166/8792/5105/324/9734/8648/1958/634/2549/2822/2865/80318/55022/23371/55198/6844/9971/6833/3291/5579/2353/9607/6548/5350/10580/6517,0.407017918923954
GO:0090181,regulation of cholesterol metabolic process,40,-0.540706211390023,-1.44623838055415,0.0455286715531823,0.1773574405171,0.107274374982548,4311,"tags=42%, list=25%, signal=32%",22937/64801/5594/9444/152559/1066/2330/26119/2053/6721/10162/2246/5566/2770/37/9971/343,0.321775918075361
GO:0009612,response to mechanical stimulus,166,-0.435105147814225,-1.44598094810367,0.00910892641629814,0.0585161415027327,0.0353933981444145,2045,"tags=26%, list=12%, signal=23%",358/7132/4212/5578/83862/4131/26047/1827/2805/654/572/3690/5595/5310/6869/8792/477/7010/3815/51761/824/2549/5734/3727/7832/2354/5028/6262/10628/7098/6387/2353/6546/6548/5138/5764/2247/2596/3741/9378/2934/6335/1756,0.380730400722792
GO:0046329,negative regulation of JNK cascade,34,-0.559111800599456,-1.44424283490145,0.0490367775831874,0.184606092817626,0.111658711172435,2387,"tags=29%, list=14%, signal=25%",91862/10114/9611/2150/5071/2874/1845/27250/65018/5187,0.271288554688953
GO:0008643,carbohydrate transport,92,-0.475683560683484,-1.44421423899189,0.0316792118550048,0.13969272864495,0.084492931964413,2457,"tags=29%, list=14%, signal=25%",23596/207/51422/9963/55625/8013/358/364/5295/26503/282679/53916/5467/51548/3643/388581/25999/55600/5906/338557/5797/55022/55198/5579/9607/10580/6517,0.321775918075361
GO:0002708,positive regulation of lymphocyte mediated immunity,90,0.447897451804273,1.44390890059462,0.0356536633477475,0.150879937478805,0.0912594980129083,814,"tags=10%, list=5%, signal=10%",154064/80328/563/79465/3329/54209/7784/3553/149840,0.321775918075361
