Gene_ID,Gene_Symbol,Gene_Description,Gene_Biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
10970,CKAP4,cytoskeleton associated protein 4,protein_coding,947.849240521465,-0.0107217448099373,0.248037387379723,-0.0432263253665195,0.965521120089258,0.977952686552533
255394,TCP11L2,t-complex 11 like 2,protein_coding,253.751060193044,-0.714819461194568,0.309305766220699,-2.31104473068414,0.0208303843060417,0.0574460954394535
55703,POLR3B,RNA polymerase III subunit B,protein_coding,803.555785148997,0.403957726357349,0.218380233074401,1.84979070985661,0.0643437203672587,0.140734991317988
55188,RIC8B,RIC8 guanine nucleotide exchange factor B,protein_coding,148.955040148133,0.194690425194446,0.32169051082882,0.60521034547409,0.545039242688874,0.677809907033316
90488,TMEM263,transmembrane protein 263,protein_coding,253.570350335157,0.347548762891127,0.325624614705171,1.06732951747461,0.285823063526107,0.431936913019858
80298,MTERF2,mitochondrial transcription termination factor 2,protein_coding,99.4139603784507,-0.07902138767253,0.291354952309851,-0.271220334667564,0.786221574126534,0.862431119570645
1407,CRY1,cryptochrome circadian regulator 1,protein_coding,288.006928944882,-0.179141953548631,0.305270316616509,-0.586830568835406,0.557317504221783,0.68833717183815
121551,ABTB3,ankyrin repeat and BTB domain containing 3,protein_coding,91.1609015237747,1.64454475246073,0.731915883034395,2.24690403717259,0.0246461606553915,0.0657941897752423
11137,PWP1,"PWP1 homolog, endonuclein",protein_coding,823.754830627183,0.586866360167814,0.174989525935493,3.35372278443769,0.000797321993285323,0.00390181837959662
11108,PRDM4,PR/SET domain 4,protein_coding,1139.8458032264,0.248161121745736,0.290512491963395,0.854218419554245,0.392983979147458,0.541466263410947
1240,CMKLR1,chemerin chemokine-like receptor 1,protein_coding,99.6105074343717,-0.447120665735369,0.435413432782411,-1.02688762466088,0.304473382231129,0.451962003315465
11153,FICD,FIC domain protein adenylyltransferase,protein_coding,59.2665601968502,0.036607982774404,0.341821375654614,0.107096821268994,0.914712168924872,0.947356087412989
9733,SART3,"spliceosome associated factor 3, U4/U6 recycling protein",protein_coding,1342.64519594378,0.40053850014181,0.202032342140112,1.98254643736215,0.0474181154123,0.110633247191379
23479,ISCU,iron-sulfur cluster assembly enzyme,protein_coding,1214.73040387568,-0.371630745056589,0.260647215457522,-1.4257997899738,0.153926141569052,0.274705556702085
338773,TMEM119,transmembrane protein 119,protein_coding,50.7205639993306,-0.639743366271346,0.466125748355881,-1.37246948603,0.169917331708227,0.295519201461228
6404,SELPLG,selectin P ligand,protein_coding,751.533854789344,-0.144935976902116,0.34361216245688,-0.421801067417991,0.673170226523768,0.78116820852894
23603,CORO1C,coronin 1C,protein_coding,3613.65210907888,-0.811754084747542,0.402916836800209,-2.0146938787521,0.0439367339852208,0.104007121603781
54434,SSH1,slingshot protein phosphatase 1,protein_coding,1103.24326162422,-0.430502795809957,0.271179484372378,-1.5875197816174,0.112394970348311,0.216849133201548
1610,DAO,D-amino acid oxidase,protein_coding,28.6740724804568,-3.92378065924571,1.01094222114178,-3.88131050141928,0.000103895090747115,0.000686507108950991
84749,USP30,ubiquitin specific peptidase 30,protein_coding,431.607778732941,-0.380273874045036,0.228633292030281,-1.66324803648749,0.0962627956523036,0.192156458954592
121642,ALKBH2,"alkB homolog 2, alpha-ketoglutarate dependent dioxygenase",protein_coding,90.3944360209103,0.818501775308195,0.401682021489513,2.03768585975801,0.0415813592080072,0.099634965720222
7374,UNG,uracil DNA glycosylase,protein_coding,851.38406918223,0.652791464255751,0.285682451983974,2.28502471790731,0.022311378438108,0.0606598567034443
32,ACACB,acetyl-CoA carboxylase beta,protein_coding,3785.94400303772,-2.14019668075965,0.240886412647303,-8.88467164768338,6.4109833957479e-19,1.10097073614813e-16
